policy,d,mean_beta,std_beta,n_seeds
cluster_label_router,2,1.0070282813068343,0.014011082820689124,5
cluster_label_router,4,0.995438201352717,0.0111825228964881,5
cluster_label_router,8,1.0096481806205593,0.007071396225296377,5
cluster_label_router,16,0.9963031656394344,0.024363184689347197,5
cluster_label_router,32,0.9985732184828556,0.018444518753661196,5
cluster_label_router,64,0.9899314697227538,0.009735108405536525,5
epsilon_greedy,2,0.9756190990865552,0.024901669060558247,5
epsilon_greedy,4,0.9474349292236404,0.020887360671337174,5
epsilon_greedy,8,0.965853863283652,0.02228434990460233,5
epsilon_greedy,16,0.9765028164934517,0.02219600605103918,5
epsilon_greedy,32,1.0026884093079407,0.016065524343623537,5
epsilon_greedy,64,0.9693279958572418,0.026319329107437988,5
linucb_raw,2,0.9564775892756974,0.02193612587574021,5
linucb_raw,4,0.9662894877714272,0.01604809912955456,5
linucb_raw,8,0.9500198151376191,0.02434220796874526,5
linucb_raw,16,0.9403971043701416,0.014767124837325868,5
linucb_raw,32,0.9493250802400617,0.020671203952752654,5
linucb_raw,64,0.9300851337515266,0.019515834678680358,5
linucb_raw_alpha_0p5,2,0.9786909071566949,0.02775457837976906,5
linucb_raw_alpha_0p5,4,0.9706926758047866,0.012235392476441715,5
linucb_raw_alpha_0p5,8,0.9681058347966072,0.0296092440387703,5
linucb_raw_alpha_0p5,16,0.9425813178672978,0.014427576478591385,5
linucb_raw_alpha_0p5,32,0.94626788010843,0.01631808424162846,5
linucb_raw_alpha_0p5,64,0.9336346318641355,0.018098538949811418,5
linucb_raw_alpha_1,2,0.9564775892756974,0.02193612587574021,5
linucb_raw_alpha_1,4,0.9662894877714272,0.01604809912955456,5
linucb_raw_alpha_1,8,0.9500198151376191,0.02434220796874526,5
linucb_raw_alpha_1,16,0.9403971043701416,0.014767124837325868,5
linucb_raw_alpha_1,32,0.9493250802400617,0.020671203952752654,5
linucb_raw_alpha_1,64,0.9300851337515266,0.019515834678680358,5
linucb_raw_alpha_2,2,0.9425463521254152,0.022559161315109363,5
linucb_raw_alpha_2,4,0.9557442683762524,0.013105912717799395,5
linucb_raw_alpha_2,8,0.9519520687011817,0.027128999869003394,5
linucb_raw_alpha_2,16,0.9414341496954834,0.019220140057714486,5
linucb_raw_alpha_2,32,0.9436393062109796,0.013856866597188846,5
linucb_raw_alpha_2,64,0.9284803271525858,0.022588913137319457,5
linucb_raw_alpha_4,2,0.9612348359457867,0.019873338037053496,5
linucb_raw_alpha_4,4,0.9540481072221743,0.007043710016042364,5
linucb_raw_alpha_4,8,0.9493913274216617,0.029294161321676254,5
linucb_raw_alpha_4,16,0.9342511674505642,0.019493294595912154,5
linucb_raw_alpha_4,32,0.9416626162683279,0.021798294327745167,5
linucb_raw_alpha_4,64,0.9267307815821668,0.02239521650044699,5
linucb_raw_alpha_8,2,0.967116172309594,0.01858106534378824,5
linucb_raw_alpha_8,4,0.9626120686257675,0.014812681388115364,5
linucb_raw_alpha_8,8,0.9626268125881514,0.030065049628931296,5
linucb_raw_alpha_8,16,0.9460638951314067,0.018888652823717128,5
linucb_raw_alpha_8,32,0.9462905379771571,0.022632790117633216,5
linucb_raw_alpha_8,64,0.9349547379458215,0.012490633068490995,5
online_softmax_best_arm,2,0.9288251134623664,0.03266654256783864,5
online_softmax_best_arm,4,0.9232458824432207,0.024239281753627214,5
online_softmax_best_arm,8,0.93622723586422,0.02408957414957487,5
online_softmax_best_arm,16,0.9251766764530418,0.014888306612018863,5
online_softmax_best_arm,32,0.9399530462426338,0.018373966024694665,5
online_softmax_best_arm,64,0.9581822607634229,0.015049527059955894,5
softmax_best_arm,2,1.0009955437258593,0.014601341376174592,5
softmax_best_arm,4,0.9968756597881047,0.025263535154829396,5
softmax_best_arm,8,1.0083332098872213,0.01877772402988793,5
softmax_best_arm,16,1.0013611614170617,0.023278062266910697,5
softmax_best_arm,32,1.0240202881823504,0.015879520077258305,5
softmax_best_arm,64,1.0002198161548608,0.01678417114515397,5
uniform,2,0.984313910279945,0.007460007274058459,5
uniform,4,0.9902221724090989,0.012175298918341876,5
uniform,8,1.0056742714912996,0.01264938140283656,5
uniform,16,0.9911942918793102,0.013719210633237978,5
uniform,32,1.00871601863185,0.016258873780759218,5
uniform,64,0.9940552769804952,0.004502878459215156,5
